region,cooling,photon_source_per_s_cm3,contact_dose_rate_uSv_per_h
FW,shutdown,1.3461e+12,9.9653e+09
FW,1d,1.0272e+12,6.2834e+09
FW,1wk,7.3400e+11,2.1116e+09
FW,1mo,6.0342e+11,1.3636e+09
FW,1yr,7.9983e+10,8.6943e+07
FW,10yr,2.6147e+07,8.3707e+04
FW,100yr,1.6443e+04,3.2099e+01
FW,1000yr,9.8342e+03,1.0631e+01
BLK_front,shutdown,1.1666e+12,8.4080e+09
BLK_front,1d,7.7339e+11,4.6297e+09
BLK_front,1wk,5.0165e+11,1.4993e+09
BLK_front,1mo,4.1150e+11,9.7997e+08
BLK_front,1yr,5.4484e+10,6.4517e+07
BLK_front,10yr,1.7984e+07,6.6268e+04
BLK_front,100yr,1.3706e+04,3.6903e+01
BLK_front,1000yr,8.6558e+03,2.1761e+01
BLK_mid,shutdown,8.0305e+11,5.5250e+09
BLK_mid,1d,4.2846e+11,2.4235e+09
BLK_mid,1wk,2.2461e+11,6.8766e+08
BLK_mid,1mo,1.8326e+11,4.5108e+08
BLK_mid,1yr,2.4289e+10,3.0272e+07
BLK_mid,10yr,8.3094e+06,3.8916e+04
BLK_mid,100yr,9.2099e+03,3.6537e+01
BLK_mid,1000yr,6.1400e+03,2.6517e+01
BLK_back,shutdown,3.7277e+11,2.5049e+09
BLK_back,1d,1.8047e+11,9.8581e+08
BLK_back,1wk,8.2662e+10,2.5074e+08
BLK_back,1mo,6.7309e+10,1.6330e+08
BLK_back,1yr,8.9567e+09,1.0759e+07
BLK_back,10yr,3.1660e+06,1.6980e+04
BLK_back,100yr,4.2317e+03,1.9141e+01
BLK_back,1000yr,2.8699e+03,1.4341e+01
DIV,shutdown,1.6503e+12,6.4455e+09
DIV,1d,1.2870e+12,3.4736e+09
DIV,1wk,1.0264e+12,1.1326e+09
DIV,1mo,8.6029e+11,7.2351e+08
DIV,1yr,1.1802e+11,4.7106e+07
DIV,10yr,3.8724e+07,8.2999e+04
DIV,100yr,1.9904e+04,2.2345e+01
DIV,1000yr,1.2140e+04,1.0322e+01
