region,cooling,classC_index,waste_class,top_classC_drivers
FW,shutdown,0.0719,Class C,Nb94:0.058;C14:0.011;Tc99:0.002;Ni63:0.001
FW,1d,0.0719,Class C,Nb94:0.058;C14:0.011;Tc99:0.002;Ni63:0.001
FW,1wk,0.0719,Class C,Nb94:0.058;C14:0.011;Tc99:0.002;Ni63:0.001
FW,1mo,0.0719,Class C,Nb94:0.058;C14:0.011;Tc99:0.002;Ni63:0.001
FW,1yr,0.0719,Class C,Nb94:0.058;C14:0.011;Tc99:0.002;Ni63:0.000
FW,10yr,0.0718,Class C,Nb94:0.058;C14:0.011;Tc99:0.002;Ni63:0.000
FW,100yr,0.0713,Class C,Nb94:0.058;C14:0.011;Tc99:0.002;Ni63:0.000
FW,1000yr,0.0682,Class C,Nb94:0.056;C14:0.010;Tc99:0.002;Ni59:0.000
BLK_front,shutdown,0.0998,Class C,Nb94:0.081;C14:0.015;Tc99:0.003;Ni63:0.001
BLK_front,1d,0.0998,Class C,Nb94:0.081;C14:0.015;Tc99:0.003;Ni63:0.001
BLK_front,1wk,0.0998,Class C,Nb94:0.081;C14:0.015;Tc99:0.003;Ni63:0.001
BLK_front,1mo,0.0998,Class C,Nb94:0.081;C14:0.015;Tc99:0.003;Ni63:0.001
BLK_front,1yr,0.0998,Class C,Nb94:0.081;C14:0.015;Tc99:0.003;Ni63:0.001
BLK_front,10yr,0.0997,Class C,Nb94:0.081;C14:0.015;Tc99:0.003;Ni63:0.001
BLK_front,100yr,0.0990,Class C,Nb94:0.081;C14:0.015;Tc99:0.003;Ni63:0.000
BLK_front,1000yr,0.0947,Class C,Nb94:0.078;C14:0.013;Tc99:0.003;Ni59:0.000
BLK_mid,shutdown,0.0924,Class C,Nb94:0.075;C14:0.014;Tc99:0.003;Ni63:0.001
BLK_mid,1d,0.0924,Class C,Nb94:0.075;C14:0.014;Tc99:0.003;Ni63:0.001
BLK_mid,1wk,0.0924,Class C,Nb94:0.075;C14:0.014;Tc99:0.003;Ni63:0.001
BLK_mid,1mo,0.0924,Class C,Nb94:0.075;C14:0.014;Tc99:0.003;Ni63:0.001
BLK_mid,1yr,0.0924,Class C,Nb94:0.075;C14:0.014;Tc99:0.003;Ni63:0.001
BLK_mid,10yr,0.0923,Class C,Nb94:0.075;C14:0.014;Tc99:0.003;Ni63:0.001
BLK_mid,100yr,0.0917,Class C,Nb94:0.075;C14:0.014;Tc99:0.003;Ni63:0.000
BLK_mid,1000yr,0.0877,Class C,Nb94:0.072;C14:0.012;Tc99:0.003;Ni59:0.000
BLK_back,shutdown,0.0471,Class C,Nb94:0.038;C14:0.007;Tc99:0.001;Ni63:0.000
BLK_back,1d,0.0471,Class C,Nb94:0.038;C14:0.007;Tc99:0.001;Ni63:0.000
BLK_back,1wk,0.0471,Class C,Nb94:0.038;C14:0.007;Tc99:0.001;Ni63:0.000
BLK_back,1mo,0.0471,Class C,Nb94:0.038;C14:0.007;Tc99:0.001;Ni63:0.000
BLK_back,1yr,0.0471,Class C,Nb94:0.038;C14:0.007;Tc99:0.001;Ni63:0.000
BLK_back,10yr,0.0471,Class C,Nb94:0.038;C14:0.007;Tc99:0.001;Ni63:0.000
BLK_back,100yr,0.0467,Class C,Nb94:0.038;C14:0.007;Tc99:0.001;Ni63:0.000
BLK_back,1000yr,0.0447,Class C,Nb94:0.037;C14:0.006;Tc99:0.001;Ni59:0.000
DIV,shutdown,0.0887,Class C,Nb94:0.072;C14:0.013;Tc99:0.003;Ni63:0.001
DIV,1d,0.0887,Class C,Nb94:0.072;C14:0.013;Tc99:0.003;Ni63:0.001
DIV,1wk,0.0887,Class C,Nb94:0.072;C14:0.013;Tc99:0.003;Ni63:0.001
DIV,1mo,0.0887,Class C,Nb94:0.072;C14:0.013;Tc99:0.003;Ni63:0.001
DIV,1yr,0.0887,Class C,Nb94:0.072;C14:0.013;Tc99:0.003;Ni63:0.001
DIV,10yr,0.0886,Class C,Nb94:0.072;C14:0.013;Tc99:0.003;Ni63:0.001
DIV,100yr,0.0880,Class C,Nb94:0.072;C14:0.013;Tc99:0.003;Ni63:0.000
DIV,1000yr,0.0841,Class C,Nb94:0.069;C14:0.012;Tc99:0.003;Ni59:0.000
